distrito,latitude,longitude
AGua Rasa,-23.5653715,-46.57369718912304
Alto De Pinheiros,-23.5499064,-46.7076422
Anhanguera,-23.4329085,-46.788533962659386
Aricanduva,-23.5780239,-46.511454
Artur Alvim,-23.5404687,-46.4897914
Barra Funda,-23.5254616,-46.6675134
Bela Vista,-23.5601219,-46.6500338
Bela(c)M,-23.5348833,-46.5949387
Bom Retiro,-23.5251634,-46.6381644
Bra!S,-23.5453263,-46.6164435
BrasilaC/Ndia,-23.4649661,-46.6913891
ButantaPS,-23.5690555,-46.7218833626702
Cachoeirinha,-23.4630177,-46.6610721
Cambuci,-23.5659114,-46.61367950054397
Campo Belo,-23.6299339,-46.670417
Campo Grande,-23.6722214,-46.684628
Campo Limpo,-23.6361999,-46.7627968
Cangaiba,-23.5058996,-46.5314253
CapaPSO Redondo,-23.6719026,-46.77943542091504
CarraPSO,-23.5515305,-46.537790768940425
Casa Verde,-23.5059269,-46.6561379
Cidade Ademar,-23.6730116,-46.6552806
Cidade Dutra,-23.7139643,-46.6990882
Cidade Lider,-23.5627696,-46.4943334
Cidade Tiradentes,-23.5824973,-46.4092065
ConsolaaSSAPSO,-23.557818,-46.6605373
Cursino,-23.6323011,-46.61956290654779
Ermelino Matarazzo,-23.4902552,-46.4824048
Freguesia Do A,-23.4874636,-46.6951317
Grajaao,-23.7799713,-46.6737655
Guaianases,-23.5440052,-46.4115152
Moema,-23.597085,-46.6628884
Iguatemi,-23.6182115,-46.41897738979316
Ipiranga,-23.58927255,-46.60616206667652
Itaim Bibi,-23.5843807,-46.6784441
Itaim Paulista,-23.5017648,-46.3996091
Itaquera,-23.5360799,-46.4555099
Jabaquara,-23.6487101,-46.645451
JaaSSAnaPS,-23.4639591,-46.5824232
Jaguara,-23.507446,-46.7553150946776
Jaguara(c),-23.5420355,-46.74949925025804
Jaragua!,-23.446592000000003,-46.73617751601424
Jardim ANgela,-23.7125278,-46.7687195
Jardim Helena,-23.479635,-46.4196826
Jardim Paulista,-23.5652185,-46.6601846
Jardim SaPSO LuaS,-23.6739274,-46.7407377
Josa(c) Bonifa!Cio,-23.5641145,-46.43473669552859
Lapa,-23.5215756,-46.7043491
Liberdade,-23.5666009,-46.63180336484415
LimaPSO,-23.5033149,-46.6752722
Mandaqui,-23.4636929,-46.6416113
Marsilac,-23.9083907,-46.7061053
Mooca,-23.5606808,-46.5971924
Morumbi,-23.5964988,-46.7178446
Parelheiros,-23.827312,-46.7277941
Pari,-23.532976,-46.6158488
Parque Do Carmo,-23.5787082,-46.458056
Pedreira,-22.741347,-46.894846
Penha,-23.523683,-46.5437815
Perdizes,-23.5379295,-46.68067051085396
Perus,-23.4084915,-46.743643244261776
Pinheiros,-23.5672842,-46.701939
Pirituba,-23.485533,-46.7219385
Ponte Rasa,-23.5110455,-46.4870517
Raposo Tavares,-23.5917093,-46.78051231777378
Repaoblica,-23.545334500000003,-46.64225711835967
Rio Pequeno,-23.5685049,-46.75685697298139
SacomaPS,-23.6012824,-46.6025552
Santa CecaLia,-23.5296595,-46.65189388826502
Santana,-23.499321,-46.6289326497014
Santo Amaro,-23.6556547,-46.7209734
SaPSO Lucas,-23.594946,-46.54589979829248
SaPSO Mateus,-23.5982995,-46.4817046
SaPSO Miguel,-23.5026845,-46.43832867511995
SaPSO Rafael,-23.627159,-46.45324064213981
Sapopemba,-23.6043265,-46.5098851
Saaode,-23.615177950000003,-46.643393343146286
Sa(c),-23.5504428,-46.6334463
Socorro,-22.5902619,-46.5249112
Tatuapa(c),-23.5402524,-46.5766424
Trememba(c),-22.95714,-45.547526
Tucuruvi,-23.4800747,-46.6032701
Vila Andrade,-23.625687,-46.7269894
Vila CuruaSSA!,-23.510151,-46.41789278409091
Vila Formosa,-23.5668764,-46.5463233
Vila Guilherme,-23.5170972,-46.6079618
Vila Jacua,-23.500294,-46.45871735205832
Vila Leopoldina,-23.530072,-46.73431933313398
Vila Maria,-23.5131836,-46.5891557
Vila Mariana,-23.5837,-46.63274082420693
Vila Matilde,-23.536179,-46.524605
Vila Medeiros,-23.487707,-46.5844955
Vila Prudente,-23.592335,-46.57496141835203
Vila Sa'Nia,-23.5986562,-46.7392935
SaPSO Domingos,-23.4938759,-46.7421942
Lajeado,-23.53624775,-46.41002184740884
